,Fecha,Camas,CamasCovid
890,2020-06-06,23561.0,3989.0
1575,2020-06-07,22582.0,3720.0
2619,2020-06-13,23070.0,2530.0
3767,2020-06-05,24368.0,4166.0
6300,2020-06-11,23891.0,2772.0
8031,2020-03-27,3002.0,1205.0
8326,2020-06-08,22445.0,3363.0
8722,2020-04-20,24628.0,12507.0
9484,2020-06-10,23266.0,2835.0
10363,2020-06-09,22841.0,3001.0
10633,2020-06-12,23961.0,2638.0
11569,2020-05-29,23285.0,4036.0
11886,2020-05-23,23225.0,4746.0
11914,2020-04-16,24985.0,13419.0
12036,2020-04-26,26117.0,11453.0
12319,2020-04-07,21440.0,12611.0
12372,2020-06-02,23977.0,3805.0
12441,2020-05-17,23831.0,5966.0
12856,2020-03-31,18467.0,10251.0
12952,2020-05-11,23968.0,6763.0
13342,2020-05-21,24559.0,5308.0
13522,2020-03-22,1588.0,324.0
13615,2020-03-30,10138.0,5007.0
13626,2020-04-08,21423.0,12787.0
13717,2020-05-02,23998.0,8802.0
13809,2020-04-14,25178.0,14126.0
13881,2020-05-30,23217.0,3939.0
13894,2020-06-01,23309.0,3836.0
14199,2020-04-27,26134.0,11037.0
14432,2020-05-24,22763.0,4659.0
14836,2020-05-20,25103.0,5580.0
14971,2020-05-18,24650.0,6110.0
15039,2020-04-02,21425.0,12278.0
15078,2020-05-09,23485.0,6798.0
15222,2020-05-27,23720.0,4516.0
15246,2020-05-14,26324.0,7875.0
15415,2020-05-06,24775.0,7942.0
15596,2020-05-08,24111.0,7049.0
15621,2020-03-25,1971.0,843.0
15637,2020-05-12,26391.0,8237.0
15804,2020-04-15,25445.0,14067.0
15915,2020-03-24,1670.0,554.0
15943,2020-04-05,21160.0,12363.0
15954,2020-04-06,21492.0,12711.0
16030,2020-05-16,25227.0,7580.0
16169,2020-04-11,22378.0,13361.0
16664,2020-05-25,23069.0,4690.0
16757,2020-05-31,22974.0,3903.0
16822,2020-04-24,26826.0,12009.0
16835,2020-04-22,26838.0,13005.0
16923,2020-05-15,26248.0,7758.0
16998,2020-03-28,3152.0,1294.0
17158,2020-04-18,23500.0,12838.0
17259,2020-05-22,24156.0,5056.0
17368,2020-04-12,22452.0,13443.0
17394,2020-05-04,24263.0,8591.0
17651,2020-05-19,25284.0,5781.0
17808,2020-04-10,22505.0,13369.0
17839,2020-05-13,26412.0,8040.0
18569,2020-05-03,23930.0,8648.0
18683,2020-05-07,24264.0,7469.0
18805,2020-05-05,24871.0,8434.0
18982,2020-04-03,21843.0,12637.0
19083,2020-05-01,24517.0,9229.0
19130,2020-04-21,25214.0,12335.0
19178,2020-04-29,25569.0,10137.0
19287,2020-05-10,23210.0,6674.0
19408,2020-04-01,19795.0,11029.0
19417,2020-03-29,3503.0,1630.0
19578,2020-05-26,24028.0,4708.0
19719,2020-04-17,24828.0,13038.0
19765,2020-04-25,26225.0,11657.0
19766,2020-04-23,27068.0,12461.0
19945,2020-05-28,23226.0,4172.0
20090,2020-03-23,1622.0,417.0
20524,2020-04-28,25865.0,10736.0
20623,2020-04-09,21537.0,13009.0
20702,2020-04-04,21702.0,13107.0
21002,2020-04-13,24018.0,13909.0
21022,2020-04-19,23949.0,12496.0
21118,2020-06-04,24729.0,4261.0
21175,2020-03-26,2022.0,992.0
21195,2020-04-30,25020.0,9662.0
21571,2020-06-03,24482.0,3970.0
