,Estado,Fecha,Camas,CamasCovid
44126,Nevada,2022-08-01,5704.0,392.0
38585,Virginia,2022-08-01,11626.0,913.0
45431,Samoa Estadounidense,2022-08-01,71.0,2.0
38163,Oklahoma,2022-08-01,6137.0,452.0
43771,Massachusetts,2022-08-01,13493.0,604.0
34593,Indiana,2022-08-01,10449.0,784.0
24289,Wyoming,2022-08-01,662.0,39.0
36959,Hawái,2022-08-01,1905.0,148.0
42212,Idaho,2022-08-01,2023.0,179.0
42560,Montana,2022-08-01,1691.0,95.0
35081,Alabama,2022-08-01,10450.0,814.0
42023,Míchigan,2022-08-01,16517.0,1045.0
37061,California,2022-08-01,46413.0,5001.0
38576,Maine,2022-08-01,2043.0,148.0
44793,Arkansas,2022-08-01,5228.0,457.0
40428,Wisconsin,2022-08-01,7946.0,580.0
43715,Vermont,2022-08-01,959.0,29.0
38096,Nueva Jersey,2022-08-01,14368.0,1111.0
39283,Dakota del Sur,2022-08-01,1346.0,83.0
34002,Washington,2022-08-01,9276.0,833.0
44214,Nueva York,2022-08-01,34130.0,3108.0
36006,Misuri,2022-08-01,11402.0,968.0
35192,Maryland,2022-08-01,8212.0,819.0
46074,Texas,2022-08-01,44116.0,4016.0
38729,Carolina del Norte,2022-08-01,16544.0,1737.0
43124,Utah,2022-08-01,3407.0,223.0
34574,Kentucky,2022-08-01,8161.0,764.0
36531,Dakota del Norte,2022-08-01,1335.0,86.0
40310,Nuevo Hampshire,2022-08-01,2100.0,83.0
34106,Ohio,2022-08-01,19434.0,1528.0
39409,Misisipi,2022-08-01,5000.0,424.0
42891,Florida,2022-08-01,41766.0,4534.0
46307,Nebraska,2022-08-01,3016.0,232.0
43898,Virginia Occidental,2022-08-01,4484.0,401.0
40485,Colorado,2022-08-01,6740.0,309.0
316,Islas Virgenes,2022-08-01,99.0,6.0
41616,Oregón,2022-08-01,5044.0,533.0
35322,Arizona,2022-08-01,10683.0,710.0
34245,Nuevo México,2022-08-01,2829.0,223.0
35513,Tennessee,2022-08-01,13325.0,927.0
36054,Washington DC,2022-08-01,2643.0,189.0
38011,Alaska,2022-08-01,1285.0,86.0
46162,Minnesota,2022-08-01,7172.0,533.0
38269,Illinois,2022-08-01,19247.0,1375.0
34468,Georgia,2022-08-01,16437.0,1730.0
45141,Iowa,2022-08-01,4425.0,276.0
39500,Delaware,2022-08-01,2100.0,235.0
46203,Connecticut,2022-08-01,5504.0,384.0
36316,Puerto Rico,2022-08-01,5465.0,354.0
42804,Luisiana,2022-08-01,8588.0,527.0
46521,Pensilvania,2022-08-01,23129.0,1587.0
42366,carolina del Sur,2022-08-01,7885.0,626.0
39032,Rhode Island,2022-08-01,1978.0,70.0
44285,Kansas,2022-08-01,4579.0,271.0
36633,Oregón,2022-07-31,5252.0,493.0
44646,Nebraska,2022-07-31,3270.0,215.0
38222,Massachusetts,2022-07-31,15294.0,622.0
42688,Puerto Rico,2022-07-31,5655.0,357.0
317,Samoa Estadounidense,2022-07-31,62.0,1.0
41674,Dakota del Norte,2022-07-31,1538.0,79.0
34162,Nuevo Hampshire,2022-07-31,2194.0,75.0
45137,Vermont,2022-07-31,962.0,33.0
42076,California,2022-07-31,48266.0,4957.0
40066,Oklahoma,2022-07-31,6694.0,424.0
36862,Connecticut,2022-07-31,6066.0,395.0
318,Islas Virgenes,2022-07-31,105.0,8.0
33991,Idaho,2022-07-31,2109.0,196.0
37659,Rhode Island,2022-07-31,1945.0,67.0
36386,Wyoming,2022-07-31,641.0,38.0
42940,Alabama,2022-07-31,10691.0,854.0
37810,Florida,2022-07-31,44380.0,4458.0
40252,Virginia Occidental,2022-07-31,4320.0,399.0
41731,Míchigan,2022-07-31,16971.0,980.0
46252,Arkansas,2022-07-31,6032.0,438.0
45986,Kansas,2022-07-31,4770.0,257.0
37846,Nueva Jersey,2022-07-31,16317.0,1114.0
44859,Texas,2022-07-31,48292.0,3899.0
34565,Georgia,2022-07-31,17651.0,1841.0
42532,Montana,2022-07-31,1902.0,106.0
38497,Illinois,2022-07-31,20438.0,1413.0
45003,Tennessee,2022-07-31,13972.0,879.0
41180,Delaware,2022-07-31,2543.0,215.0
37798,Alaska,2022-07-31,1437.0,87.0
45839,Misisipi,2022-07-31,5304.0,442.0
42480,Nuevo México,2022-07-31,2815.0,208.0
35505,Carolina del Norte,2022-07-31,17568.0,1704.0
34371,carolina del Sur,2022-07-31,8541.0,610.0
40660,Indiana,2022-07-31,11750.0,733.0
44470,Dakota del Sur,2022-07-31,1426.0,74.0
34209,Maryland,2022-07-31,9220.0,792.0
43518,Maine,2022-07-31,2217.0,139.0
45414,Washington DC,2022-07-31,2606.0,180.0
36425,Nueva York,2022-07-31,37307.0,3030.0
46210,Hawái,2022-07-31,2015.0,142.0
36475,Misuri,2022-07-31,12907.0,986.0
38679,Arizona,2022-07-31,11745.0,707.0
35879,Washington,2022-07-31,10039.0,845.0
38664,Colorado,2022-07-31,7608.0,311.0
37204,Ohio,2022-07-31,21309.0,1482.0
39346,Luisiana,2022-07-31,8510.0,517.0
39683,Wisconsin,2022-07-31,8392.0,547.0
45221,Pensilvania,2022-07-31,25913.0,1642.0
35178,Utah,2022-07-31,4007.0,210.0
45384,Nevada,2022-07-31,6356.0,408.0
36295,Kentucky,2022-07-31,8724.0,775.0
37515,Minnesota,2022-07-31,7318.0,507.0
43738,Iowa,2022-07-31,4552.0,263.0
37286,Virginia,2022-07-31,12414.0,858.0
45440,Vermont,2022-07-30,963.0,35.0
45550,Maine,2022-07-30,2280.0,141.0
34851,Delaware,2022-07-30,2564.0,221.0
45087,Hawái,2022-07-30,1997.0,141.0
37509,Idaho,2022-07-30,2142.0,192.0
40471,Nebraska,2022-07-30,3230.0,215.0
36670,Wyoming,2022-07-30,794.0,38.0
39754,Nevada,2022-07-30,6354.0,411.0
45529,California,2022-07-30,49208.0,4922.0
45035,Oklahoma,2022-07-30,6911.0,418.0
37775,carolina del Sur,2022-07-30,8705.0,609.0
35331,Carolina del Norte,2022-07-30,17823.0,1683.0
34871,Minnesota,2022-07-30,7633.0,500.0
36852,Oregón,2022-07-30,5335.0,469.0
